Name,Value,Byte Offset,Type
vp_c1_data[242],"7.70522E-33, 1.79368E-40, 3.83261E-32, 7.97074E+07",3872,float4
vp_c1_data[243],"1.53573E-38, 5.08907E+17, 1.53401E-38, 4.14331E+17",3888,float4
vp_c1_data[244],"-5.90794E+21, 1.15541E-37, 1.68095E-38, 4.14331E+17",3904,float4
vp_c1_data[245],"6.52248E-39, 1.71799E+10, 6.52176E-39, 1.71799E+10",3920,float4
vp_c1_data[246],"4.73470E-30, 8.77316E-39, nan, 4.76456E-22",3936,float4
vp_c1_data[247],"1.53577E-38, 5.05529E+17, 1.97457E-38, 2.61286E+17",3952,float4
vp_c1_data[248],"-4.53716E+23, 2.91865E-39, nan, 4.76456E-22",3968,float4
vp_c1_data[249],"1.82789E-38, 3.96471E+17, 5.05276E-39, 2.61286E+17",3984,float4
vp_c1_data[250],"-5.31786E+37, 2.91748E-39, 1.38708E-38, 3.96471E+17",4000,float4
vp_c1_data[251],"1.82789E-38, 3.61690E+16, 1.82789E-38, 3.61692E+16",4016,float4
vp_c1_data[252],"-8.51741E+37, 2.91587E-39, 1.38711E-38, 3.61690E+16",4032,float4
vp_c1_data[253],"1.38711E-38, 3.61692E+16, 2.48028E-38, 4.95435E+16",4048,float4
vp_c1_data[254],"-8.50893E+37, 2.91865E-39, 2.46514E-30, -1.34006E+29",4064,float4
vp_c1_data[255],"6.52427E-39, 4.95474E+16, 2.43584E-29, 1.64381E+17",4080,float4
vp_c1_data[256],"-4.25448E+37, 2.78089E-39, 2.12176E-38, 4.14344E+17",4096,float4
vp_c1_data[257],"2.43576E-29, 1.64381E+17, 3.35256E-30, -1.34006E+29",4112,float4
vp_c1_data[258],"-6.49163E+33, 1.46506E-38, 3.83268E-32, 6.08339E+07",4128,float4
vp_c1_data[259],"9.46265E-39, 4.14344E+17, 2.12187E-38, 2.61286E+17",4144,float4
vp_c1_data[260],"-6.38124E+37, 2.91582E-39, 3.36190E-38, 3.96471E+17",4160,float4
vp_c1_data[261],"9.46087E-39, 2.61286E+17, 7.28951E-40, 2.35102E-38",4176,float4
vp_c1_data[262],"-5.31752E+37, 2.91721E-39, 2.77415E-38, 3.96471E+17",4192,float4
vp_c1_data[263],"2.19833E-39, 2.35099E-38, 3.52558E-32, 5.66396E+07",4208,float4
vp_c1_data[264],"-6.38132E+37, 2.91721E-39, 3.21781E-32, 5.66396E+07",4224,float4
vp_c1_data[265],"4.14128E-32, 6.08339E+07, 3.65541E-38, 5.21668E+07",4240,float4
vp_c1_data[266],"-6.38133E+37, 2.91865E-39, 7.28972E-40, 2.35113E-38",4256,float4
vp_c1_data[267],"3.94986E-38, 5.21668E+07, 6.48238E-40, 1.87443E-08",4272,float4
vp_c1_data[268],"-5.31793E+37, 2.91721E-39, 2.11404E-39, 1.39601E+07",4288,float4
vp_c1_data[269],"6.48595E-40, 1.87462E-08, 3.65649E-38, 5.21668E+07",4304,float4
vp_c1_data[270],"-5.32210E+37, 2.91721E-39, 3.36204E-38, 1.62130E+17",4320,float4
vp_c1_data[271],"2.11689E-39, 3.50198E-06, 3.65656E-38, 5.21668E+07",4336,float4
vp_c1_data[272],"-5.35117E+37, 2.91723E-39, 3.06795E-38, 1.62130E+17",4352,float4
vp_c1_data[273],"6.44307E-40, 9.60533E-10, 5.05599E-39, 1.39601E+07",4368,float4
vp_c1_data[274],"-5.51733E+37, 2.91721E-39, 2.26870E-38, 3.61690E+16",4384,float4
vp_c1_data[275],"2.26870E-38, 3.61692E+16, 7.28957E-40, 2.35214E-38",4400,float4
vp_c1_data[276],"-5.31793E+37, 2.06492E-24, 6.45385E-40, 9.60533E-10",4416,float4
vp_c1_data[277],"7.99545E-39, 1.39601E+07, 1.97486E-38, 3.61690E+16",4432,float4
vp_c1_data[278],"-5.31794E+37, 2.91721E-39, 1.97486E-38, 3.61692E+16",4448,float4
vp_c1_data[279],"1.44362E-28, 7.97074E+07, 2.77436E-38, 2.18651E+17",4464,float4
vp_c1_data[280],"-5.31793E+37, 2.91721E-39, 4.96056E-38, 4.95501E+16",4480,float4
