Name,Value,Byte Offset,Type
vp_c1_data[145],"9.46158E-39, 2.61279E+17, 6.52248E-39, 1.71799E+10",2320,float4
vp_c1_data[146],"-2.26710E+23, 5.85451E-39, 1.53365E-38, 3.24264E+17",2336,float4
vp_c1_data[147],"6.52464E-39, 1.71799E+10, -1.98435E-17, 8.68117E-21",2352,float4
vp_c1_data[148],"-1.27624E+38, 2.92439E-39, 3.58555E-39, 1.71799E+10",2368,float4
vp_c1_data[149],"1.68095E-38, 5.70056E+15, 1.53391E-38, 2.43405E+17",2384,float4
vp_c1_data[150],"-7.97926E+36, 4.80777E-34, 1.82789E-38, 2.61279E+17",2400,float4
vp_c1_data[151],"3.62992E-37, 6.08339E+07, 2.92462E-37, 6.08339E+07",2416,float4
vp_c1_data[152],"-1.28956E+38, 2.91578E-39, 3.15972E-37, 6.08339E+07",2432,float4
vp_c1_data[153],"3.39482E-37, 6.08339E+07, 1.04693E-38, 3.42340E+17",2448,float4
vp_c1_data[154],"-5.90411E+21, 5.85595E-39, 3.05629E-36, -8.85444E+20",2464,float4
vp_c1_data[155],"5.05276E-39, 1.71799E+10, 1.53391E-38, 2.61279E+17",2480,float4
vp_c1_data[156],"-1.03316E+21, 2.91865E-39, -6.44652E-40, 0.00005",2496,float4
vp_c1_data[157],"6.52284E-39, 1.71799E+10, 1.53365E-38, 3.24264E+17",2512,float4
vp_c1_data[158],"-1.27624E+38, 2.91578E-39, 3.58519E-39, 1.71799E+10",2528,float4
vp_c1_data[159],"1.09320E-38, 5.66516E+15, 6.43590E-40, 0.00006",2544,float4
vp_c1_data[160],"-4.25445E+37, 2.64171E-39, 3.27399E-33, -1.34006E+29",2560,float4
vp_c1_data[161],"3.65506E-38, 7.97074E+07, 2.77415E-38, 3.78483E+17",2576,float4
vp_c1_data[162],"-1.23816E+28, 2.77946E-39, 2.40737E-33, -1.34006E+29",2592,float4
vp_c1_data[163],"3.85179E-32, -1.34006E+29, 1.63700E-33, -1.34006E+29",2608,float4
vp_c1_data[164],"-8.11449E+32, 2.64171E-39, 4.09249E-34, -1.34006E+29",2624,float4
vp_c1_data[165],"1.92589E-32, -1.34006E+29, 6.01842E-34, -1.34006E+29",2640,float4
vp_c1_data[166],"-7.47380E+20, 2.91578E-39, 4.24395E-38, 5.63039E+15",2656,float4
vp_c1_data[167],"5.23838E-32, -1.34006E+29, 1.21099E-21, 7.97074E+07",2672,float4
vp_c1_data[168],"-4.25445E+37, 7.59173E-40, 8.18498E-34, -1.34006E+29",2688,float4
vp_c1_data[169],"2.26891E-38, 5.62991E+15, 5.05887E-39, 1.71799E+10",2704,float4
vp_c1_data[170],"-1.48770E+28, 1.17366E-37, 6.44651E-40, 0.00006",2720,float4
vp_c1_data[171],"4.19071E-31, -1.34006E+29, 2.12198E-38, 5.63081E+15",2736,float4
vp_c1_data[172],"-3.32368E+36, 4.80777E-34, 9.46265E-39, 3.78483E+17",2752,float4
vp_c1_data[173],"-6.50750E-40, 5.32015E-06, 6.49328E-40, 1.50464E-36",2768,float4
vp_c1_data[174],"-8.50912E+37, 2.91721E-39, 6.49325E-40, 1.50464E-36",2784,float4
vp_c1_data[175],"2.43627E-29, 9.99313E+16, 2.43623E-29, 6.38987E+16",2800,float4
vp_c1_data[176],"-3.32436E+36, 2.91721E-39, 3.94893E-38, 2.61279E+17",2816,float4
vp_c1_data[177],"2.43615E-29, 6.38987E+16, 2.43627E-29, 1.01620E+17",2832,float4
vp_c1_data[178],"-5.48410E+37, 7.69244E-33, 1.53434E-38, 5.63087E+15",2848,float4
vp_c1_data[179],"1.53419E-38, 5.63032E+15, 2.43584E-29, 9.99313E+16",2864,float4
vp_c1_data[180],"-3.98833E+36, 2.91578E-39, 2.43584E-29, 1.01620E+17",2880,float4
vp_c1_data[181],"6.45381E-40, 0.00006, 1.53412E-38, 5.63026E+15",2896,float4
vp_c1_data[182],"-5.31783E+37, 2.91578E-39, 2.26870E-38, 3.78483E+17",2912,float4
vp_c1_data[183],"2.43615E-29, 6.10839E+16, -7.42594E-40, 0.00005",2928,float4
vp_c1_data[184],"-4.25446E+37, 2.68906E-39, 1.67629E-30, -1.34006E+29",2944,float4
vp_c1_data[185],"3.94893E-38, 3.24264E+17, 6.61684E-39, 1.71799E+10",2960,float4
vp_c1_data[186],"-4.83664E+25, 2.91578E-39, 2.43623E-29, 6.10839E+16",2976,float4
vp_c1_data[187],"3.58663E-39, 1.71799E+10, 2.20371E-39, 0.00008",2992,float4
vp_c1_data[188],"-3.32368E+36, 2.91721E-39, 2.09536E-31, -1.34006E+29",3008,float4
vp_c1_data[189],"2.20372E-39, 0.00008, 7.34357E-40, 8.38994E+07",3024,float4
vp_c1_data[190],"-4.25456E+37, 2.82538E-39, 7.34353E-40, 8.39004E+07",3040,float4
vp_c1_data[191],"2.79174E-38, 4.45905E+17, 6.70514E-30, -1.34006E+29",3056,float4
vp_c1_data[192],"-5.38544E+37, 2.89569E-39, 2.43619E-29, 9.99313E+16",3072,float4
